Label,FileName,right_eye_x,right_eye_y,right_eye_z,right_eye_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v
Bad1,1.jpg,0.7347538471221924,0.02232414484024048,-0.435783714056015,0.9999326467514038,0.6941843032836914,0.0015253424644470215,-0.3318870961666107,0.9999548196792603,0.6213082671165466,0.20708000659942627,-0.4107724130153656,0.9987951517105103,0.5039474964141846,0.6599690318107605,-0.16847825050354004,0.9889025092124939
Bad1,10.jpg,0.7354572415351868,0.02998054027557373,-0.42002755403518677,0.9999138116836548,0.6965668201446533,0.006182491779327393,-0.34183964133262634,0.9999353885650635,0.6218367218971252,0.20844799280166626,-0.40289169549942017,0.998195230960846,0.5105343461036682,0.6414581537246704,-0.14368118345737457,0.9909033179283142
Bad1,100.jpg,0.7170701622962952,-0.023867130279541016,-0.24361468851566315,0.9981908202171326,0.6768882274627686,-0.025606393814086914,-0.29401060938835144,0.9984443783760071,0.6142816543579102,0.1671987771987915,-0.3878327012062073,0.9965415596961975,0.4936750531196594,0.6821653246879578,-0.1534879356622696,0.980362057685852
Bad1,101.jpg,0.7167168855667114,-0.01959306001663208,-0.30760395526885986,0.999627947807312,0.6767581701278687,-0.02480459213256836,-0.31062138080596924,0.9996316432952881,0.6108053922653198,0.17048197984695435,-0.39000198245048523,0.9976919889450073,0.4931686520576477,0.6841706037521362,-0.14895682036876678,0.9916937947273254
Bad1,102.jpg,0.7176076173782349,-0.009940266609191895,-0.34343355894088745,0.9996341466903687,0.6759681105613708,-0.009186267852783203,-0.3264918923377991,0.9995872378349304,0.6212539672851562,0.17257648706436157,-0.3958331346511841,0.9980467557907104,0.4939817488193512,0.6731864809989929,-0.14297114312648773,0.9910768270492554
Bad1,103.jpg,0.7285192012786865,0.00033080577850341797,-0.24231991171836853,0.999082088470459,0.6919166445732117,0.0020278096199035645,-0.2990202009677887,0.999116837978363,0.6303394436836243,0.1738501489162445,-0.38348034024238586,0.9983057975769043,0.4961644411087036,0.6769998073577881,-0.14838820695877075,0.9930229187011719
Bad1,104.jpg,0.7344150543212891,-0.013913750648498535,-0.37612900137901306,0.9997912049293518,0.6942571401596069,-0.019588887691497803,-0.3424263596534729,0.9997572302818298,0.6315549612045288,0.17978861927986145,-0.41473090648651123,0.9972744584083557,0.4949073791503906,0.6770007610321045,-0.1447039246559143,0.9890860319137573
Bad1,105.jpg,0.7441357374191284,0.00944596529006958,-0.39205238223075867,0.9998005032539368,0.7021074891090393,-0.0066803693771362305,-0.35078829526901245,0.9997538924217224,0.6346625089645386,0.19370925426483154,-0.417861670255661,0.9977912902832031,0.49706941843032837,0.6724768877029419,-0.14127537608146667,0.9918712377548218
Bad1,106.jpg,0.7461441159248352,0.009807229042053223,-0.43198978900909424,0.9999268054962158,0.7019411325454712,-0.00138777494430542,-0.34974879026412964,0.9999032020568848,0.6368535757064819,0.19083595275878906,-0.41463854908943176,0.9967367053031921,0.4964643716812134,0.6683709025382996,-0.13999447226524353,0.9839275479316711
Bad1,107.jpg,0.7583099007606506,0.021203160285949707,-0.4117679297924042,0.9999134540557861,0.7149830460548401,-0.0007448792457580566,-0.3533181846141815,0.9999052286148071,0.6513082981109619,0.21992793679237366,-0.4236050844192505,0.9985964894294739,0.5060743689537048,0.6601581573486328,-0.1458238810300827,0.9961764812469482
